Node_A,Node_B,Node_C,M_abc,Abs_M_abc
Mot,Mot,Mot,7.80146810711681,7.80146810711681
Mot,Mot,SAL,4.98240477124201,4.98240477124201
DMN,DMN,DMN,3.81294892901644,3.81294892901644
Mot,Mot,CBL,3.38194907494539,3.38194907494539
Mot,SAL,SAL,3.18211928250045,3.18211928250045
DMN,Mot,Mot,2.95982001184552,2.95982001184552
MF,Mot,Mot,-2.70539477930051,2.70539477930051
DMN,DMN,CBL,2.68317834301528,2.68317834301528
DMN,DMN,Mot,2.63352051703136,2.63352051703136
MF,MF,Mot,2.37382421990201,2.37382421990201
SAL,SAL,SAL,2.36315052111313,2.36315052111313
CBL,CBL,CBL,2.15477732446395,2.15477732446395
MF,Mot,SAL,-2.09529413056191,2.09529413056191
DMN,CBL,CBL,1.99053053001823,1.99053053001823
FP,FP,FP,1.98467044904502,1.98467044904502
FP,Mot,Mot,1.91749799640477,1.91749799640477
Mot,Mot,SC,1.88216945622494,1.88216945622494
DMN,Mot,CBL,1.85795244721298,1.85795244721298
Mot,SAL,CBL,1.82309132430455,1.82309132430455
Mot,Mot,VI,1.78982082164667,1.78982082164667
MF,MF,SAL,1.73145728965159,1.73145728965159
MF,SAL,SAL,-1.63764956671934,1.63764956671934
DMN,DMN,SC,1.58687727041542,1.58687727041542
MF,DMN,DMN,1.57561101986077,1.57561101986077
FP,FP,SAL,1.55436522461456,1.55436522461456
MF,MF,FP,1.47431571975176,1.47431571975176
Mot,CBL,CBL,1.46745780328974,1.46745780328974
DMN,Mot,SAL,1.45665020130722,1.45665020130722
FP,SAL,SAL,1.45311785737985,1.45311785737985
SAL,SAL,CBL,1.43568369505375,1.43568369505375
FP,Mot,SAL,1.36242988295354,1.36242988295354
MF,FP,FP,-1.326896148451,1.326896148451
MF,MF,CBL,1.31995959538087,1.31995959538087
MF,FP,Mot,-1.31761159107263,1.31761159107263
DMN,DMN,VI,1.31607985103396,1.31607985103396
DMN,DMN,SAL,1.25992877873446,1.25992877873446
SAL,CBL,CBL,1.24832903032586,1.24832903032586
Mot,VI,SAL,1.23727660956527,1.23727660956527
MF,FP,SAL,-1.21657444933891,1.21657444933891
VI,VI,VI,1.21010204656714,1.21010204656714
Mot,SAL,SC,1.16850680808619,1.16850680808619
VII,VII,VII,1.15943909323411,1.15943909323411
DMN,Mot,SC,1.09949176207208,1.09949176207208
FP,FP,Mot,1.08454716596886,1.08454716596886
VI,VII,VII,1.08339945768724,1.08339945768724
MF,MF,DMN,1.07879060885027,1.07879060885027
MF,MF,VI,1.07436400922952,1.07436400922952
DMN,SC,CBL,1.06524776335167,1.06524776335167
Mot,SC,CBL,1.04838970611429,1.04838970611429
